,en_US,pt_BR,es
CREATED,Created with,Criado com,Creado com
THANKS,"Lango is not a complete RPG game.
It's just a Godot Engine study project.
Created with the help of tutorials from:
 HeartBeast on Youtube and davidepesce.com



Thank you very much for the tutorials!","Lango não é um jogo RPG completo.
É apenas um projeto de estudo da Godot Engine.
O jogo foi criado com ajuda dos tutoriais de:
 HeartBeast no Youtube e davidepesce.com



Muito obrigado pelos tutorias!
 ","Lango no es un juego de rol completo.
Es solo un proyecto de estudio de Godot Engine.
El juego fue creado con la ayuda de tutoriales de:
 HeartBeast en Youtube y davidepesce.com



¡Muchas gracias por los tutoriales!
 "
INTRO,"Use the arrows or WASD keys to move 




Use [J] or [Space] to ATTACK 
Use [K] to ROLL 
Press [ESC] to MENU
Press [ i ] to INVENTORY","Use as setas ou WASD para se mover 




Use [J] ou [Space] para ATACAR 
Use [K] para ROLAR 
Pressione [ESC] para MENU
Use [ i ] para INVENTÁRIO","Usa las flechas o las teclas WASD para moverte 




Usa [J] o [Space] para ATACAR 
Usa [K] para RODAR 
Presiona [ESC] para MENÚ
Presiona [ i ] para INVENTARIO"
BED ASK,"You can restore your health 
while you sleep! 
Do you want to sleep now?","Você pode restaurar sua saúde 
enquanto você dorme! 
Gostaria de dormir agora?","¡Puedes restaurar tu salud
mientras duermes!
¿Te gustaría dormir ahora?"
BED ANSWER,[J]Yes [K]No,[J] Sim [K] Não,[J] Sí [K] No 
QS NS DS1 D,"Hello my little friend!
Could you bring me 15 honeycombs?","Fala meu amiguinho!
Você poderia me trazer
15 favos de mel?","¡Hola mi pequeño amigo! 
¿Me podrías traer 15 panales? "
QS NS DS1 A,[J] Yes [K] No,[J] Sim [K] Não,[J] Sí [K] No 
QS NS DS2 D,"Thank you so much!
You're a great friend!","Valeu maninho!
Você é o cara mesmo! ","¡Muchas gracias! 
¡Eres un gran amigo! "
QS NS DS2 A,[J] I will be back soon!,[J] Eu volto logo!,[J] ¡Volveré pronto! 
QS NS DS3 D,"If you change your mind, I'll be here.","Se mudar de ideia 
estarei aqui.","Si cambias de opinión, estaré aquí. "
QS NS DS3 A,[J] Ok!,[J] Ok!,[J] ¡Ok! 
QS S DS1 D,Did you get all the honeycombs?,Já conseguiu todos os favos de mel?,¿Conseguiste todos los panales? 
QS S DS1 A,[J] Yes!,[J] Sim!,[J] ¡Sí! 
QS S DS1 A1,[J] I need to get more!,[J] Preciso conseguir mais!,[J] ¡Necesito más! 
QS S DS2 D,"Thanks my little friend!
Take that reward!","Valeu meu parça!
Toma um presentinho! ","¡Gracias mi amiguito! 
¡Toma esa recompensa! "
QS S DS2 A,[J] Thank you so much!,[J] Valeu mano!,[J] ¡Muchas gracias! 
QS S DS3 D,Watch out for the bees!,Cuidado com as abelhas!,¡Cuidado con las abejas! 
QS S DS3 A,"[J] OK, I'll be back later!",[J] Ok! Eu volto mais tarde!,[J] ¡Está bien!
QS C DS1 D,"Thanks for the help!
Would you like to do me another favor?","Valeu pela ajuda!
Gostaria de me fazer outro favor?","¡Gracias por la ayuda!
¿Quieres hacerme otro favor?"
QS C DS1 A,[J] Yes [K] No,[J] Sim [K] Não,[J] Sí [K] No
QS C DS2 D,"I want to build a fireplace!
Could you bring me 20 stones?","Quero construir uma lareira!
Poderia me trazer 20 pedras?","¡Quiero construir una chimenea!
¿Podrías traerme 20 piedras?"
QS C DS2 A,[J] Yes,[J] Pagando bem!,[J] Sí
QS C DS3 D,"If you change your mind,
I will be here!","Se mudar de ideia,
Eu estarei aqui!","Si cambias tu mente,
¡Voy a estar aquí!"
QS C DS3 A,[J] Ok!,[J] Ok!,[J] Ok!
QS SS DS1 D,Did you get all the stones?,Já conseguiu todas as pedras?,¿Conseguiste todas las piedras?
QS SS DS1 A,[J] Yes!,[J] Sim!,[J] ¡Sí! 
QS SS DS1 A1,[J] I need to get more!,[J] Preciso conseguir mais!,[J] ¡Necesito más! 
QS SS DS2 D,"Thanks my little friend!
Take that reward!","Valeu meu parça!
Toma um presentinho! ","¡Gracias mi amiguito! 
¡Toma esa recompensa! "
QS SS DS2 A,[J] Thank you so much!,[J] Valeu mano!,[J] ¡Muchas gracias! 
